Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
California,2023,6,21394,19553,121.0,4579.0,770.0,1098.0,383.0,842.0,227.0,336.0,627.0,4589.0,1321.0,293.0,195.0
California,2023,7,26419,24321,139.0,5724.0,966.0,1449.0,429.0,1092.0,305.0,419.0,1335.0,5436.0,1556.0,297.0,209.0
California,2023,8,20671,19565,138.0,4662.0,704.0,1099.0,279.0,755.0,230.0,325.0,1551.0,4130.0,1247.0,359.0,265.0
California,2023,9,12854,12626,68.0,3005.0,440.0,842.0,194.0,472.0,147.0,204.0,916.0,2546.0,810.0,317.0,246.0
Colorado,2023,1,3727,3284,35.0,599.0,100.0,153.0,49.0,256.0,59.0,64.0,0.0,676.0,178.0,169.0,85.0
Colorado,2023,2,3565,3130,36.0,656.0,93.0,148.0,11.0,194.0,45.0,46.0,0.0,659.0,187.0,90.0,20.0
Colorado,2023,3,3560,3107,55.0,652.0,89.0,139.0,0.0,219.0,70.0,49.0,0.0,623.0,161.0,101.0,59.0
Colorado,2023,4,4487,3923,35.0,831.0,127.0,196.0,10.0,241.0,74.0,45.0,0.0,830.0,220.0,116.0,44.0
Colorado,2023,5,3392,2901,38.0,661.0,81.0,115.0,0.0,173.0,41.0,12.0,10.0,644.0,175.0,46.0,0.0
Colorado,2023,6,3286,2801,11.0,623.0,90.0,128.0,0.0,170.0,40.0,39.0,35.0,556.0,178.0,34.0,0.0
Colorado,2023,7,4045,3543,21.0,778.0,93.0,159.0,0.0,205.0,82.0,24.0,160.0,754.0,193.0,11.0,0.0
Colorado,2023,8,3328,3057,10.0,657.0,77.0,137.0,10.0,146.0,58.0,0.0,231.0,590.0,170.0,17.0,0.0
Colorado,2023,9,2062,1993,0.0,433.0,31.0,94.0,0.0,117.0,13.0,22.0,236.0,329.0,110.0,33.0,10.0
Connecticut,2023,1,2811,2595,33.0,500.0,61.0,82.0,63.0,120.0,58.0,67.0,11.0,557.0,142.0,185.0,126.0
Connecticut,2023,2,2757,2534,36.0,537.0,63.0,82.0,54.0,106.0,56.0,64.0,14.0,563.0,128.0,115.0,79.0
Connecticut,2023,3,2549,2327,21.0,511.0,66.0,85.0,39.0,83.0,40.0,35.0,0.0,526.0,98.0,72.0,50.0
Connecticut,2023,4,3000,2732,12.0,566.0,70.0,97.0,46.0,135.0,61.0,44.0,0.0,665.0,138.0,21.0,0.0
Connecticut,2023,5,2422,2174,10.0,476.0,24.0,81.0,26.0,89.0,49.0,48.0,21.0,516.0,132.0,0.0,0.0
Connecticut,2023,6,2275,2075,15.0,481.0,44.0,64.0,15.0,85.0,66.0,49.0,36.0,467.0,115.0,0.0,0.0
Connecticut,2023,7,2963,2725,25.0,670.0,61.0,80.0,25.0,112.0,36.0,70.0,103.0,579.0,124.0,0.0,0.0
Connecticut,2023,8,2284,2219,10.0,491.0,37.0,65.0,0.0,75.0,57.0,46.0,169.0,424.0,149.0,11.0,0.0
Connecticut,2023,9,1493,1493,11.0,351.0,11.0,50.0,23.0,55.0,28.0,37.0,121.0,263.0,59.0,28.0,11.0
Delaware,2023,1,909,813,0.0,174.0,0.0,13.0,0.0,28.0,0.0,0.0,0.0,190.0,74.0,55.0,0.0
Delaware,2023,2,888,800,0.0,169.0,23.0,0.0,0.0,28.0,0.0,0.0,0.0,193.0,77.0,42.0,0.0
Delaware,2023,3,881,788,0.0,180.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,194.0,65.0,22.0,0.0
Delaware,2023,4,1069,953,0.0,225.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,237.0,93.0,0.0,0.0
Delaware,2023,5,760,677,0.0,180.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,66.0,0.0,0.0
Delaware,2023,6,762,708,0.0,164.0,0.0,24.0,0.0,23.0,0.0,0.0,0.0,160.0,84.0,0.0,0.0
Delaware,2023,7,978,921,0.0,229.0,0.0,0.0,0.0,25.0,0.0,0.0,45.0,204.0,90.0,0.0,0.0
Delaware,2023,8,687,659,0.0,148.0,0.0,0.0,0.0,11.0,0.0,0.0,39.0,151.0,56.0,0.0,0.0
