,Jurisdiction of Occurrence,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
0,United States,2023-01-07,20.64,18.76,0.3,3.57,0.66,0.76,0.53,1.01,0.32,0.38,0.26,4.49,1.05,1.16,0.81,334914895
1,United States,2023-01-14,19.85,18.12,0.28,3.54,0.61,0.76,0.43,1.01,0.32,0.34,0.24,4.34,1.01,1.1,0.76,334914895
2,United States,2023-01-21,19.21,17.5,0.26,3.58,0.57,0.73,0.36,0.93,0.34,0.34,0.25,4.19,0.98,0.97,0.63,334914895
3,United States,2023-01-28,18.67,17.04,0.27,3.49,0.57,0.71,0.34,0.9,0.31,0.34,0.24,4.12,0.98,0.87,0.57,334914895
4,United States,2023-02-04,18.77,17.06,0.25,3.54,0.61,0.68,0.29,0.9,0.3,0.34,0.26,4.14,0.99,0.79,0.5,334914895
5,United States,2023-02-11,18.8,17.07,0.26,3.58,0.59,0.72,0.29,0.92,0.3,0.34,0.26,4.13,0.98,0.7,0.47,334914895
6,United States,2023-02-18,18.47,16.8,0.25,3.51,0.59,0.7,0.28,0.9,0.31,0.33,0.25,4.17,0.97,0.63,0.4,334914895
7,United States,2023-02-25,18.55,16.83,0.24,3.6,0.58,0.68,0.26,0.88,0.29,0.34,0.27,4.13,0.95,0.64,0.41,334914895
8,United States,2023-03-04,18.34,16.64,0.25,3.49,0.58,0.66,0.25,0.91,0.31,0.32,0.28,4.06,0.94,0.59,0.39,334914895
9,United States,2023-03-11,18.15,16.47,0.26,3.5,0.55,0.65,0.26,0.88,0.3,0.31,0.3,4.03,0.95,0.55,0.35,334914895
10,United States,2023-03-18,18.25,16.61,0.25,3.55,0.56,0.65,0.26,0.89,0.31,0.35,0.27,4.1,0.94,0.53,0.32,334914895
11,United States,2023-03-25,18.15,16.49,0.25,3.52,0.58,0.65,0.28,0.86,0.29,0.35,0.29,4.06,0.96,0.5,0.32,334914895
12,United States,2023-04-01,17.97,16.27,0.24,3.43,0.57,0.69,0.24,0.91,0.29,0.32,0.32,3.99,0.93,0.43,0.27,334914895
13,United States,2023-04-08,17.63,15.92,0.24,3.46,0.55,0.62,0.26,0.85,0.29,0.32,0.32,3.92,0.93,0.41,0.25,334914895
14,United States,2023-04-15,17.81,16.09,0.24,3.46,0.57,0.64,0.24,0.89,0.3,0.31,0.33,3.97,0.92,0.36,0.23,334914895
15,United States,2023-04-22,17.45,15.8,0.24,3.39,0.53,0.63,0.25,0.86,0.29,0.32,0.32,3.88,0.92,0.36,0.22,334914895
16,United States,2023-04-29,17.25,15.68,0.24,3.49,0.53,0.64,0.23,0.86,0.28,0.3,0.33,3.75,0.94,0.3,0.19,334914895
17,United States,2023-05-06,17.32,15.64,0.23,3.49,0.56,0.6,0.23,0.82,0.28,0.31,0.37,3.82,0.91,0.28,0.17,334914895
18,United States,2023-05-13,17.26,15.6,0.22,3.49,0.53,0.64,0.24,0.83,0.29,0.32,0.37,3.77,0.93,0.25,0.15,334914895
19,United States,2023-05-20,16.9,15.31,0.23,3.41,0.51,0.6,0.22,0.77,0.29,0.31,0.37,3.72,0.9,0.23,0.13,334914895
20,United States,2023-05-27,16.63,15.08,0.22,3.44,0.49,0.57,0.24,0.8,0.27,0.31,0.39,3.63,0.88,0.22,0.13,334914895
21,United States,2023-06-03,16.94,15.28,0.22,3.43,0.5,0.61,0.23,0.79,0.27,0.31,0.41,3.73,0.89,0.21,0.12,334914895
22,United States,2023-06-10,16.78,15.2,0.23,3.47,0.51,0.57,0.23,0.78,0.27,0.31,0.45,3.67,0.87,0.19,0.11,334914895
23,United States,2023-06-17,16.76,15.25,0.22,3.53,0.49,0.61,0.21,0.78,0.26,0.31,0.47,3.66,0.87,0.18,0.11,334914895
24,United States,2023-06-24,16.61,15.11,0.22,3.43,0.51,0.62,0.21,0.76,0.26,0.29,0.51,3.63,0.89,0.17,0.1,334914895
25,United States,2023-07-01,16.56,15.11,0.22,3.43,0.49,0.6,0.21,0.78,0.27,0.29,0.6,3.59,0.85,0.16,0.1,334914895
26,United States,2023-07-08,16.62,15.06,0.21,3.46,0.51,0.58,0.2,0.74,0.25,0.29,0.67,3.65,0.86,0.14,0.08,334914895
27,United States,2023-07-15,16.47,15.1,0.24,3.46,0.5,0.58,0.19,0.76,0.26,0.27,0.71,3.52,0.86,0.15,0.09,334914895
28,United States,2023-07-22,16.47,15.12,0.21,3.46,0.49,0.59,0.19,0.73,0.26,0.28,0.79,3.49,0.86,0.16,0.1,334914895
29,United States,2023-07-29,16.42,15.16,0.22,3.49,0.49,0.59,0.2,0.73,0.26,0.3,0.85,3.42,0.85,0.16,0.1,334914895
30,United States,2023-08-05,16.45,15.27,0.21,3.45,0.47,0.61,0.19,0.74,0.27,0.29,0.95,3.44,0.86,0.2,0.13,334914895
31,United States,2023-08-12,16.51,15.41,0.22,3.51,0.47,0.6,0.2,0.73,0.26,0.3,1.02,3.43,0.9,0.22,0.15,334914895
32,United States,2023-08-19,16.26,15.26,0.22,3.44,0.49,0.61,0.17,0.72,0.28,0.28,1.03,3.4,0.87,0.26,0.17,334914895
33,United States,2023-08-26,15.79,14.93,0.2,3.45,0.47,0.6,0.19,0.7,0.26,0.27,1.03,3.24,0.83,0.3,0.21,334914895
34,United States,2023-09-02,15.17,14.53,0.21,3.29,0.42,0.57,0.18,0.67,0.25,0.27,1.06,3.21,0.8,0.32,0.22,334914895
35,United States,2023-09-09,14.1,13.76,0.18,3.09,0.4,0.58,0.18,0.66,0.22,0.25,1.01,3.01,0.78,0.33,0.23,334914895
36,United States,2023-09-16,11.31,11.29,0.16,2.59,0.33,0.5,0.15,0.57,0.19,0.21,0.76,2.4,0.62,0.29,0.21,334914895
37,Alabama,2023-01-07,24.06,22.0,0.78,3.82,0.69,0.98,0.53,1.37,0.45,0.51,0.41,5.58,0.98,1.12,0.82,5108468
38,Alabama,2023-01-14,23.96,21.57,0.49,3.82,0.49,0.96,0.39,1.19,0.49,0.51,0.37,6.09,1.37,1.19,0.96,5108468
39,Alabama,2023-01-21,24.61,22.63,0.43,4.89,0.41,0.94,0.51,1.51,0.51,0.49,0.25,6.05,1.04,1.17,1.02,5108468
40,Alabama,2023-01-28,22.12,20.5,0.37,3.62,0.45,0.82,0.41,1.23,0.33,0.69,0.31,5.58,1.31,1.08,0.7,5108468
41,Alabama,2023-02-04,23.0,21.1,0.45,4.31,0.61,1.06,0.33,1.08,0.23,0.39,0.49,5.4,1.29,1.08,0.82,5108468
42,Alabama,2023-02-11,24.14,22.12,0.53,4.38,0.63,0.8,0.31,1.35,0.51,0.65,0.27,5.97,1.12,0.59,0.49,5108468
43,Alabama,2023-02-18,23.06,21.22,0.43,4.07,0.59,1.06,0.43,1.59,0.35,0.57,0.33,5.74,1.08,0.78,0.63,5108468
44,Alabama,2023-02-25,23.88,21.75,0.39,3.9,0.72,0.8,0.2,1.08,0.45,0.65,0.39,6.13,1.35,0.94,0.67,5108468
45,Alabama,2023-03-04,21.22,19.34,0.43,4.03,0.43,1.0,0.49,1.19,0.47,0.49,0.39,5.07,1.14,0.41,0.33,5108468
46,Alabama,2023-03-11,21.85,19.5,0.37,3.23,0.63,0.63,0.41,1.25,0.51,0.47,0.41,5.4,1.23,0.55,0.39,5108468
47,Alabama,2023-03-18,21.12,19.09,0.29,3.45,0.65,0.76,0.23,1.35,0.29,0.23,0.39,5.68,1.06,0.35,0.23,5108468
48,Alabama,2023-03-25,22.75,20.81,0.45,4.5,0.41,0.74,0.43,1.27,0.47,0.74,0.41,5.32,1.02,0.51,0.29,5108468
49,Alabama,2023-04-01,23.1,20.85,0.35,4.38,0.63,0.74,0.33,1.15,0.33,0.45,0.39,5.91,1.14,0.43,0.29,5108468
50,Alabama,2023-04-08,21.75,19.63,0.41,3.43,0.51,1.04,0.29,1.1,0.45,0.45,0.51,5.6,1.23,0.49,0.27,5108468
51,Alabama,2023-04-15,20.95,19.01,0.43,3.5,0.61,0.82,0.0,1.33,0.45,0.31,0.37,4.91,1.15,0.23,0.0,5108468
52,Alabama,2023-04-22,20.79,19.34,0.37,3.92,0.55,0.84,0.35,1.08,0.55,0.69,0.27,4.99,1.0,0.23,0.0,5108468
53,Alabama,2023-04-29,20.95,19.18,0.41,4.09,0.39,0.9,0.25,1.19,0.57,0.65,0.47,5.05,1.04,0.33,0.31,5108468
54,Alabama,2023-05-06,21.75,19.87,0.39,4.15,0.61,0.7,0.41,1.1,0.29,0.57,0.47,5.46,1.17,0.31,0.25,5108468
55,Alabama,2023-05-13,22.49,20.12,0.2,3.95,0.45,1.06,0.39,0.76,0.41,0.41,0.55,6.01,1.29,0.29,0.2,5108468
56,Alabama,2023-05-20,21.87,19.89,0.47,3.74,0.53,0.9,0.25,1.29,0.47,0.45,0.53,5.07,1.02,0.23,0.0,5108468
57,Alabama,2023-05-27,20.42,18.46,0.53,4.21,0.39,0.53,0.29,1.0,0.49,0.45,0.35,5.03,1.1,0.22,0.0,5108468
58,Alabama,2023-06-03,21.32,19.2,0.37,3.6,0.47,1.06,0.25,1.35,0.53,0.27,0.57,5.19,1.08,0.0,0.0,5108468
59,Alabama,2023-06-10,19.05,17.32,0.35,3.56,0.41,0.84,0.43,0.78,0.37,0.23,0.41,4.87,0.88,0.0,0.0,5108468
60,Alabama,2023-06-17,20.42,18.71,0.33,3.82,0.51,0.78,0.31,0.8,0.45,0.57,0.76,5.13,1.08,0.0,0.0,5108468
61,Alabama,2023-06-24,20.26,18.5,0.49,3.43,0.49,0.76,0.29,0.92,0.43,0.61,0.67,4.7,1.21,0.2,0.0,5108468
62,Alabama,2023-07-01,19.99,18.4,0.51,3.76,0.45,0.86,0.29,1.15,0.55,0.57,0.69,4.27,1.0,0.29,0.0,5108468
63,Alabama,2023-07-08,21.89,20.46,0.41,4.05,0.67,0.86,0.35,0.96,0.39,0.55,0.8,5.52,1.33,0.2,0.0,5108468
64,Alabama,2023-07-15,20.2,18.69,0.55,3.64,0.47,0.72,0.22,1.39,0.45,0.29,0.82,4.8,1.06,0.0,0.0,5108468
65,Alabama,2023-07-22,19.87,18.38,0.35,4.35,0.63,0.82,0.0,0.86,0.45,0.65,0.78,4.27,1.08,0.0,0.0,5108468
66,Alabama,2023-07-29,20.16,18.77,0.27,3.99,0.37,0.65,0.23,1.14,0.49,0.39,0.74,5.13,1.08,0.25,0.0,5108468
67,Alabama,2023-08-05,20.24,19.05,0.43,3.82,0.39,0.8,0.2,1.0,0.35,0.47,0.74,4.76,1.15,0.35,0.23,5108468
68,Alabama,2023-08-12,19.73,18.64,0.35,4.05,0.37,0.7,0.27,1.02,0.29,0.39,0.65,5.09,1.23,0.43,0.33,5108468
69,Alabama,2023-08-19,19.99,19.03,0.33,3.46,0.59,0.84,0.25,0.96,0.53,0.25,0.7,4.7,1.45,0.43,0.23,5108468
70,Alabama,2023-08-26,18.97,17.95,0.29,3.35,0.47,0.84,0.35,1.14,0.45,0.37,0.63,4.74,1.25,0.23,0.0,5108468
71,Alabama,2023-09-02,16.5,15.91,0.31,3.39,0.29,0.61,0.23,0.9,0.37,0.25,0.55,3.93,0.59,0.47,0.39,5108468
72,Alabama,2023-09-09,15.41,15.27,0.31,2.82,0.41,0.8,0.25,1.06,0.29,0.29,0.53,3.76,0.96,0.43,0.37,5108468
73,Alabama,2023-09-16,11.26,11.26,0.22,2.29,0.0,0.51,0.0,0.55,0.22,0.0,0.39,3.11,0.55,0.29,0.25,5108468
74,Alaska,2023-01-07,13.23,10.91,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,733406
75,Alaska,2023-01-14,15.27,13.23,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,733406
76,Alaska,2023-01-21,18.13,15.13,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,733406
77,Alaska,2023-01-28,14.18,11.59,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,1.36,0.0,0.0,733406
78,Alaska,2023-02-04,14.32,12.54,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,733406
79,Alaska,2023-02-11,16.23,13.36,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,733406
80,Alaska,2023-02-18,14.18,11.45,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,733406
81,Alaska,2023-02-25,14.18,11.59,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,733406
82,Alaska,2023-03-04,13.91,12.41,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,733406
83,Alaska,2023-03-11,12.27,10.36,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,733406
84,Alaska,2023-03-18,13.64,11.45,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,733406
85,Alaska,2023-03-25,13.77,11.32,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,733406
86,Alaska,2023-04-01,14.86,12.41,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,733406
87,Alaska,2023-04-08,13.09,10.91,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,733406
88,Alaska,2023-04-15,13.77,11.73,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,733406
89,Alaska,2023-04-22,12.54,10.23,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,733406
90,Alaska,2023-04-29,15.68,12.54,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,733406
91,Alaska,2023-05-06,14.45,11.73,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,733406
92,Alaska,2023-05-13,10.5,8.45,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,733406
93,Alaska,2023-05-20,13.91,9.82,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,733406
94,Alaska,2023-05-27,12.68,10.77,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,733406
95,Alaska,2023-06-03,15.82,11.32,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,733406
96,Alaska,2023-06-10,10.09,7.64,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733406
97,Alaska,2023-06-17,15.82,13.36,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,733406
98,Alaska,2023-06-24,13.77,11.73,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,733406
99,Alaska,2023-07-01,13.36,10.77,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,733406
100,Alaska,2023-07-08,13.09,9.82,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,733406
101,Alaska,2023-07-15,8.86,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,733406
102,Alaska,2023-07-22,12.68,10.09,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,733406
103,Alaska,2023-07-29,11.45,10.5,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,733406
104,Alaska,2023-08-05,12.14,10.91,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,733406
105,Alaska,2023-08-12,11.73,10.09,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,733406
106,Alaska,2023-08-19,7.91,7.09,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733406
107,Alaska,2023-08-26,8.73,7.91,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,733406
108,Alaska,2023-09-02,7.5,7.09,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733406
109,Alaska,2023-09-09,5.04,4.91,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733406
110,Alaska,2023-09-16,1.64,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733406
111,Arizona,2023-01-07,20.35,18.27,0.22,3.23,0.73,0.87,0.43,0.94,0.38,0.26,0.2,4.12,1.04,1.21,0.92,7431344
112,Arizona,2023-01-14,20.33,18.19,0.17,3.67,0.73,0.79,0.39,1.14,0.27,0.24,0.0,4.49,1.0,0.85,0.54,7431344
113,Arizona,2023-01-21,19.9,17.91,0.24,3.84,0.61,0.74,0.36,1.01,0.36,0.35,0.28,4.44,0.97,0.57,0.3,7431344
114,Arizona,2023-01-28,18.91,16.67,0.0,2.85,0.66,0.86,0.26,0.79,0.4,0.23,0.24,4.02,1.06,0.51,0.38,7431344
115,Arizona,2023-02-04,20.17,18.18,0.13,3.54,0.66,1.01,0.19,1.24,0.35,0.28,0.15,4.63,0.9,0.48,0.27,7431344
116,Arizona,2023-02-11,18.85,16.7,0.16,3.18,0.59,0.54,0.19,1.09,0.36,0.0,0.17,4.66,0.83,0.39,0.23,7431344
117,Arizona,2023-02-18,19.18,16.78,0.13,3.42,0.74,0.69,0.26,0.85,0.38,0.17,0.2,4.05,0.86,0.39,0.28,7431344
118,Arizona,2023-02-25,19.46,17.32,0.15,3.85,0.69,0.73,0.36,1.36,0.28,0.3,0.22,4.04,1.02,0.47,0.23,7431344
119,Arizona,2023-03-04,19.22,17.28,0.16,3.34,0.78,0.78,0.27,1.12,0.42,0.22,0.13,4.51,0.85,0.47,0.34,7431344
120,Arizona,2023-03-11,19.2,16.62,0.13,3.53,0.63,0.85,0.28,1.02,0.34,0.35,0.13,4.17,0.66,0.46,0.26,7431344
121,Arizona,2023-03-18,18.09,15.91,0.0,3.05,0.62,0.71,0.24,0.89,0.32,0.19,0.17,3.93,1.0,0.55,0.35,7431344
122,Arizona,2023-03-25,18.87,16.81,0.24,3.32,0.65,0.66,0.26,0.9,0.39,0.2,0.36,4.16,1.08,0.4,0.28,7431344
123,Arizona,2023-04-01,19.22,16.86,0.17,3.46,0.67,0.58,0.35,0.96,0.27,0.31,0.22,4.01,0.75,0.46,0.3,7431344
124,Arizona,2023-04-08,19.43,16.97,0.0,3.73,0.75,0.57,0.34,1.17,0.38,0.22,0.24,3.92,0.75,0.35,0.17,7431344
125,Arizona,2023-04-15,19.74,17.45,0.0,3.55,0.73,0.87,0.2,1.26,0.43,0.16,0.3,4.17,0.86,0.39,0.28,7431344
126,Arizona,2023-04-22,18.8,16.66,0.22,3.3,0.61,0.82,0.4,1.05,0.28,0.31,0.16,4.01,0.89,0.44,0.3,7431344
127,Arizona,2023-04-29,18.27,16.3,0.23,3.44,0.66,0.71,0.27,1.09,0.42,0.28,0.16,3.85,0.59,0.42,0.32,7431344
128,Arizona,2023-05-06,17.68,15.68,0.0,3.63,0.54,0.75,0.24,0.87,0.34,0.26,0.19,4.18,0.55,0.44,0.3,7431344
129,Arizona,2023-05-13,17.99,15.8,0.24,3.35,0.46,0.61,0.3,0.96,0.32,0.2,0.2,3.7,0.93,0.31,0.22,7431344
130,Arizona,2023-05-20,17.67,15.69,0.13,3.5,0.66,0.81,0.22,0.86,0.35,0.17,0.19,3.77,0.77,0.28,0.17,7431344
131,Arizona,2023-05-27,16.75,14.48,0.15,3.16,0.57,0.73,0.28,0.78,0.26,0.19,0.22,3.27,0.67,0.44,0.31,7431344
132,Arizona,2023-06-03,16.67,14.45,0.0,3.3,0.61,0.73,0.2,0.77,0.22,0.17,0.24,3.19,0.81,0.28,0.13,7431344
133,Arizona,2023-06-10,17.44,15.46,0.0,3.38,0.65,0.57,0.17,0.82,0.27,0.16,0.32,4.18,0.79,0.24,0.0,7431344
134,Arizona,2023-06-17,16.65,14.9,0.16,3.44,0.38,0.62,0.23,0.75,0.28,0.2,0.27,3.65,0.69,0.32,0.23,7431344
135,Arizona,2023-06-24,16.4,14.14,0.19,3.2,0.55,0.51,0.22,0.7,0.22,0.0,0.36,3.3,0.75,0.17,0.0,7431344
136,Arizona,2023-07-01,17.16,15.18,0.16,3.28,0.61,0.48,0.13,0.94,0.31,0.24,0.34,3.67,0.77,0.16,0.0,7431344
137,Arizona,2023-07-08,17.08,14.84,0.13,2.95,0.44,0.48,0.16,0.75,0.23,0.16,0.65,3.85,0.71,0.32,0.2,7431344
138,Arizona,2023-07-15,17.28,14.82,0.23,3.03,0.58,0.42,0.16,0.92,0.24,0.19,0.79,3.59,0.65,0.24,0.17,7431344
139,Arizona,2023-07-22,19.47,16.47,0.0,3.09,0.66,0.61,0.15,0.86,0.24,0.17,2.17,3.14,0.87,0.24,0.2,7431344
140,Arizona,2023-07-29,19.14,17.1,0.15,3.7,0.69,0.7,0.15,0.78,0.3,0.22,2.22,3.12,0.67,0.16,0.0,7431344
141,Arizona,2023-08-05,16.82,14.87,0.13,3.38,0.55,0.52,0.2,0.71,0.2,0.2,1.7,2.93,0.78,0.13,0.0,7431344
142,Arizona,2023-08-12,16.56,15.02,0.16,3.07,0.51,0.77,0.16,0.92,0.23,0.22,1.67,3.05,0.71,0.16,0.0,7431344
143,Arizona,2023-08-19,16.65,15.27,0.16,3.35,0.44,0.66,0.13,0.63,0.28,0.17,1.7,3.05,0.73,0.0,0.0,7431344
144,Arizona,2023-08-26,16.16,15.17,0.0,3.53,0.55,0.74,0.19,0.7,0.2,0.2,1.37,3.22,0.74,0.16,0.0,7431344
145,Arizona,2023-09-02,16.04,15.08,0.17,3.01,0.57,0.59,0.15,0.52,0.3,0.13,1.64,3.12,0.83,0.24,0.13,7431344
146,Arizona,2023-09-09,14.05,13.56,0.0,3.08,0.42,0.55,0.2,0.74,0.22,0.0,1.41,2.85,0.54,0.2,0.17,7431344
147,Arizona,2023-09-16,12.0,11.98,0.0,2.37,0.35,0.67,0.13,0.58,0.27,0.13,1.14,2.26,0.62,0.2,0.16,7431344
148,Arkansas,2023-01-07,26.34,24.15,0.68,4.21,1.01,1.04,0.68,1.79,0.62,0.62,0.0,6.1,0.98,1.27,1.01,3067732
149,Arkansas,2023-01-14,24.97,22.98,0.75,3.75,0.85,1.08,0.85,1.79,0.33,0.75,0.0,5.8,1.34,1.56,0.98,3067732
150,Arkansas,2023-01-21,24.06,22.13,0.0,4.3,1.14,1.17,0.49,1.27,0.65,0.39,0.0,5.18,1.43,1.24,0.78,3067732
151,Arkansas,2023-01-28,22.72,21.64,0.39,4.24,0.75,1.14,0.0,1.76,0.0,0.59,0.0,5.48,1.21,1.24,0.85,3067732
152,Arkansas,2023-02-04,23.7,22.07,0.39,3.94,0.75,0.98,0.49,1.79,0.52,0.59,0.0,5.31,1.27,0.95,0.59,3067732
153,Arkansas,2023-02-11,22.82,21.03,0.39,4.11,0.46,1.11,0.33,1.89,0.0,0.55,0.0,5.54,1.01,0.78,0.59,3067732
154,Arkansas,2023-02-18,22.56,20.96,0.39,3.91,0.85,1.01,0.0,1.56,0.0,0.49,0.0,6.0,0.88,0.81,0.52,3067732
155,Arkansas,2023-02-25,24.02,21.87,0.36,5.05,0.59,0.68,0.42,1.56,0.33,0.0,0.0,6.16,1.24,0.68,0.62,3067732
156,Arkansas,2023-03-04,22.62,20.99,0.46,3.91,0.75,0.88,0.52,1.53,0.36,0.49,0.0,5.77,1.21,0.36,0.0,3067732
157,Arkansas,2023-03-11,22.95,21.06,0.39,3.88,1.17,0.78,0.33,2.09,0.0,0.55,0.0,4.79,1.24,0.52,0.0,3067732
158,Arkansas,2023-03-18,22.04,20.67,0.42,4.27,0.78,1.04,0.55,1.73,0.42,0.62,0.0,5.31,1.14,0.39,0.0,3067732
159,Arkansas,2023-03-25,22.07,20.54,0.36,4.11,0.75,1.08,0.52,1.5,0.33,0.46,0.0,4.99,1.3,0.39,0.0,3067732
160,Arkansas,2023-04-01,22.82,20.86,0.49,4.6,0.91,1.11,0.0,1.56,0.46,0.46,0.0,4.92,1.24,0.0,0.0,3067732
161,Arkansas,2023-04-08,21.58,19.3,0.33,3.29,0.59,0.85,0.42,2.02,0.33,0.46,0.0,4.63,1.08,0.0,0.0,3067732
162,Arkansas,2023-04-15,21.71,19.98,0.0,4.5,0.68,1.04,0.46,1.63,0.0,0.52,0.0,4.63,0.95,0.36,0.33,3067732
163,Arkansas,2023-04-22,20.5,18.58,0.62,4.01,0.81,0.62,0.0,1.4,0.0,0.0,0.0,4.82,1.08,0.39,0.0,3067732
164,Arkansas,2023-04-29,22.3,20.47,0.59,3.65,0.91,0.81,0.62,1.17,0.0,0.55,0.0,5.41,1.3,0.36,0.0,3067732
165,Arkansas,2023-05-06,21.94,19.95,0.46,4.34,1.11,0.85,0.0,1.24,0.0,0.46,0.0,5.12,1.04,0.39,0.36,3067732
166,Arkansas,2023-05-13,20.18,18.91,0.46,4.34,0.62,0.75,0.36,1.37,0.36,0.59,0.33,4.47,1.27,0.0,0.0,3067732
167,Arkansas,2023-05-20,21.09,18.71,0.49,3.29,0.72,0.68,0.0,1.27,0.46,0.78,0.0,4.6,1.01,0.46,0.0,3067732
168,Arkansas,2023-05-27,21.32,19.56,0.36,4.3,0.98,0.88,0.36,1.01,0.39,0.36,0.33,4.73,1.24,0.0,0.0,3067732
169,Arkansas,2023-06-03,20.15,18.35,0.36,4.37,0.85,0.62,0.0,1.37,0.0,0.0,0.49,4.4,0.78,0.0,0.0,3067732
170,Arkansas,2023-06-10,20.41,19.23,0.52,3.94,0.72,0.98,0.0,1.21,0.39,0.62,0.0,5.02,0.78,0.0,0.0,3067732
171,Arkansas,2023-06-17,20.54,19.13,0.39,3.78,0.95,0.75,0.33,1.14,0.0,0.0,0.72,4.99,0.81,0.0,0.0,3067732
172,Arkansas,2023-06-24,20.67,19.13,0.33,3.75,1.01,0.81,0.42,1.04,0.0,0.36,0.72,5.05,1.24,0.0,0.0,3067732
173,Arkansas,2023-07-01,21.22,20.18,0.0,4.34,0.68,0.95,0.49,1.4,0.36,0.42,1.08,4.6,1.11,0.0,0.0,3067732
174,Arkansas,2023-07-08,21.64,20.11,0.46,3.81,0.98,1.08,0.49,1.11,0.42,0.42,1.14,5.9,0.78,0.0,0.0,3067732
175,Arkansas,2023-07-15,20.67,19.36,0.46,4.24,0.75,1.11,0.55,1.53,0.0,0.36,0.78,4.43,0.65,0.0,0.0,3067732
176,Arkansas,2023-07-22,20.6,19.13,0.0,4.11,0.88,0.65,0.0,1.37,0.0,0.42,0.72,5.12,0.95,0.0,0.0,3067732
