Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
Kentucky,2023,1,100.44,91.49000000000001,2.2800000000000002,18.25,3.34,2.26,1.92,6.74,1.67,2.45,0.96,20.259999999999998,3.9299999999999997,6.45,3.95,18104616
Kentucky,2023,2,96.2,87.38,2.01,19.88,3.11,2.71,1.0,6.449999999999999,1.6400000000000001,1.8499999999999999,1.17,19.78,3.8099999999999996,5.35,2.99,18104616
Kentucky,2023,3,92.55,83.38,1.73,17.78,2.74,2.63,1.42,6.46,1.31,2.41,1.4,18.5,3.98,4.02,2.36,18104616
Kentucky,2023,4,111.09,99.38,1.9100000000000001,22.759999999999998,3.82,2.74,1.35,7.03,1.87,2.52,1.33,23.11,4.84,3.38,1.79,22630770
Kentucky,2023,5,84.46000000000001,75.53,1.6400000000000001,16.84,2.51,2.39,1.19,5.39,1.43,2.33,1.27,17.44,3.5999999999999996,1.9700000000000002,0.29,18104616
Kentucky,2023,6,85.19,76.58,1.79,18.55,2.04,2.45,1.09,5.27,1.6,2.34,0.45999999999999996,18.259999999999998,3.9299999999999997,1.61,0.27,18104616
Kentucky,2023,7,102.95,91.94,2.13,22.87,3.11,2.62,0.8700000000000001,6.23,2.14,2.54,1.42,20.880000000000003,3.87,0.8,0.0,22630770
Kentucky,2023,8,75.68,69.32,1.51,16.79,2.08,2.39,0.55,4.57,1.45,1.86,0.8599999999999999,15.59,2.92,1.3599999999999999,0.0,18104616
Kentucky,2023,9,39.55,38.95,1.13,9.7,1.21,1.46,0.24,2.58,0.4,0.6,0.0,8.35,1.99,1.2,0.5800000000000001,13578462
Louisiana,2023,1,89.99,81.09,2.26,15.31,3.19,3.31,1.31,4.43,2.1,1.99,1.29,21.39,4.5600000000000005,3.5300000000000002,2.3200000000000003,18294996
Louisiana,2023,2,89.31,79.47999999999999,1.6099999999999999,16.29,2.55,3.37,0.91,3.96,1.98,1.76,1.45,21.89,4.48,2.6500000000000004,1.71,18294996
Louisiana,2023,3,83.82,73.92,1.68,15.559999999999999,2.88,3.12,0.56,3.67,1.81,1.81,0.81,20.7,3.87,2.03,1.3599999999999999,18294996
Louisiana,2023,4,100.14999999999999,87.65,2.17,19.009999999999998,3.2,3.7199999999999998,1.12,4.7,2.21,2.0100000000000002,1.23,23.81,4.98,1.31,0.26,22868745
Louisiana,2023,5,79.89,70.11,1.7,15.85,2.81,2.91,0.24,3.98,1.68,2.01,0.59,18.54,3.65,0.28,0.0,18294996
Louisiana,2023,6,76.33,67.17,1.18,14.6,2.7700000000000005,3.24,0.39,3.3899999999999997,1.6,1.7799999999999998,0.31,18.48,3.62,0.0,0.0,18294996
Louisiana,2023,7,91.65,82.45,1.71,18.18,3.26,3.41,0.24,3.63,1.78,2.15,1.05,23.44,5.46,0.26,0.0,22868745
Louisiana,2023,8,66.03,63.05,1.49,14.49,2.16,3.38,0.0,3.4699999999999998,1.6,1.05,0.22,16.08,3.67,1.19,0.7,18294996
Louisiana,2023,9,34.33,33.980000000000004,0.5,8.11,0.92,2.23,0.0,1.64,0.92,0.8300000000000001,0.31,8.85,1.84,0.26,0.0,13721247
Maine,2023,1,102.1,92.92,0.0,20.41,1.8599999999999999,2.3600000000000003,2.72,4.73,0.0,0.0,0.0,20.34,4.01,4.15,2.3,5582888
Maine,2023,2,95.86,86.76,0.0,17.77,3.73,2.44,0.0,5.38,0.79,0.0,0.0,21.79,4.4399999999999995,3.73,1.51,5582888
Maine,2023,3,92.93,84.97,0.0,17.99,1.94,2.08,0.0,5.449999999999999,0.0,0.0,0.0,19.63,3.87,4.36,2.5100000000000002,5582888
Maine,2023,4,111.12,101.1,0.0,23.07,3.88,5.02,0.0,6.65,0.72,0.0,0.0,23.009999999999998,2.6500000000000004,0.72,0.0,6978610
Maine,2023,5,87.92,80.53,0.0,17.84,1.51,3.58,0.0,4.72,0.79,0.0,0.0,19.78,3.66,0.0,0.0,5582888
Maine,2023,6,84.89,76.22,0.0,18.990000000000002,2.79,0.0,0.0,4.29,0.0,0.0,0.0,16.630000000000003,2.51,0.0,0.0,5582888
Maine,2023,7,108.12,96.8,0.0,23.15,1.58,2.3,0.0,7.09,0.0,0.0,0.0,22.93,1.79,0.0,0.0,6978610
Maine,2023,8,88.35,81.97999999999999,0.0,18.200000000000003,3.23,0.93,0.0,3.37,0.0,0.0,4.3,18.41,3.37,0.0,0.0,5582888
Maine,2023,9,57.75,55.959999999999994,0.0,15.190000000000001,1.79,0.0,0.0,3.29,0.0,0.0,5.09,10.25,0.72,0.86,0.0,4187166
Maryland,2023,1,71.65,64.81,1.17,13.56,2.41,1.7,1.3,2.4699999999999998,0.8300000000000001,1.02,0.16,15.87,3.99,4.49,2.7800000000000002,24721012
Maryland,2023,2,69.9,62.87,1.21,13.85,2.43,1.77,1.01,2.51,0.8099999999999999,0.9199999999999999,0.0,14.73,4.1899999999999995,3.44,2.2,24721012
Maryland,2023,3,66.74000000000001,59.52,1.27,13.03,2.34,1.4300000000000002,0.16,2.71,1.03,1.05,0.0,14.95,3.7,2.42,1.15,24721012
Maryland,2023,4,77.32000000000001,68.93,1.34,15.42,2.94,1.49,0.6799999999999999,3.31,0.53,0.8899999999999999,0.0,17.46,4.390000000000001,1.6600000000000001,0.63,30901265
Maryland,2023,5,62.730000000000004,55.519999999999996,1.16,14.42,2.14,1.44,0.6,2.29,0.6,1.02,0.19,12.67,3.55,0.55,0.0,24721012
Maryland,2023,6,59.23,52.36,1.2,12.57,1.6400000000000001,1.29,0.37,1.9500000000000002,0.81,0.58,0.4,13.35,4.0,0.53,0.0,24721012
Maryland,2023,7,73.73,65.55,1.33,15.33,2.41,1.47,0.53,2.51,0.5700000000000001,0.38,1.0,16.33,4.85,0.33999999999999997,0.16,30901265
Maryland,2023,8,62.370000000000005,57.12,1.1400000000000001,14.59,2.34,1.46,0.19,2.04,0.42000000000000004,0.73,1.9,12.68,3.8600000000000003,0.96,0.47000000000000003,24721012
Maryland,2023,9,40.4,39.01,0.91,9.36,1.18,1.1,0.52,1.3699999999999999,0.21,0.53,2.59,8.45,2.48,0.89,0.66,18540759
Massachusetts,2023,1,76.72,70.61,1.36,14.14,1.54,2.3,1.89,3.2800000000000002,1.48,1.79,1.1,14.16,2.77,5.51,3.93,28005596
Massachusetts,2023,2,71.57,65.55,1.04,14.629999999999999,1.75,2.0999999999999996,1.1400000000000001,2.62,1.28,1.4,1.07,14.08,2.7399999999999998,3.42,2.2199999999999998,28005596
Massachusetts,2023,3,68.95,63.34,1.26,14.01,1.6099999999999999,2.0300000000000002,1.12,3.2,1.13,1.6099999999999999,0.95,13.07,2.7,1.99,1.33,28005596
Massachusetts,2023,4,82.0,75.32,1.47,16.15,2.44,2.36,1.29,3.56,1.72,1.8399999999999999,1.1,16.67,2.9,1.31,0.68,35006995
Massachusetts,2023,5,63.879999999999995,57.73,1.11,13.79,1.7,1.53,0.96,2.59,1.34,1.34,1.29,11.55,2.6,0.73,0.30000000000000004,28005596
Massachusetts,2023,6,63.73,58.3,0.93,14.190000000000001,1.49,1.6300000000000001,0.9199999999999999,2.44,1.08,1.27,1.83,12.6,2.71,0.46,0.0,28005596
Massachusetts,2023,7,78.17,73.96000000000001,1.19,18.41,1.58,1.58,0.4,2.92,1.41,1.69,6.3,14.02,3.27,0.0,0.0,35006995
Massachusetts,2023,8,63.52,61.45,1.17,14.0,1.17,1.6,0.77,2.89,1.05,1.25,7.43,10.74,2.77,0.91,0.65,28005596
Massachusetts,2023,9,43.95,43.24,0.78,9.6,0.9,1.07,0.23,1.57,0.6799999999999999,0.98,5.36,8.05,1.6600000000000001,1.21,0.94,21004197
Michigan,2023,1,84.8,78.08,1.05,16.14,2.53,3.64,2.2,4.48,1.24,1.54,0.8400000000000001,20.990000000000002,4.46,4.06,2.5900000000000003,40149044
Michigan,2023,2,81.07,74.77,0.94,15.559999999999999,2.86,3.13,1.1800000000000002,4.15,1.19,1.52,0.7,20.95,4.63,2.87,1.69,40149044
Michigan,2023,3,80.16,73.94,0.89,15.91,2.5,3.32,1.12,4.0600000000000005,1.1400000000000001,1.46,1.06,20.3,4.4399999999999995,2.88,1.68,40149044
Michigan,2023,4,97.36,88.87,1.08,19.35,2.86,3.77,1.27,4.84,1.34,2.06,1.19,24.91,5.41,2.62,1.6500000000000001,50186305
Michigan,2023,5,77.28,71.15,0.77,16.52,2.5,3.07,1.04,3.84,0.9199999999999999,1.34,1.21,19.73,4.24,1.46,0.81,40149044
Michigan,2023,6,73.71,67.31,0.8400000000000001,15.15,2.33,2.83,0.85,3.9,1.01,1.31,1.44,18.46,4.09,0.72,0.23,40149044
Michigan,2023,7,90.31,83.3,1.04,19.919999999999998,2.66,3.3899999999999997,0.8300000000000001,4.08,1.2,1.66,2.77,22.29,5.34,0.5800000000000001,0.1,50186305
Michigan,2023,8,73.18,68.55,0.9,15.91,2.04,2.92,0.62,3.49,0.96,1.41,3.63,17.48,4.37,0.8300000000000001,0.38,40149044
Michigan,2023,9,48.41,46.95,0.68,10.5,1.62,2.0,0.43999999999999995,2.26,0.73,1.0899999999999999,2.6100000000000003,12.120000000000001,2.74,0.76,0.51,30111783
Minnesota,2023,1,70.66,64.38,0.42,13.73,2.01,3.39,1.0,3.2199999999999998,1.04,0.5700000000000001,2.07,13.12,3.3200000000000003,3.77,2.02,22951660
Minnesota,2023,2,65.91,59.67,0.36,13.77,2.07,3.1799999999999997,0.5700000000000001,2.76,0.87,0.36,1.62,12.23,2.7,2.8,1.64,22951660
Minnesota,2023,3,68.22,62.120000000000005,0.5700000000000001,15.08,1.9,2.98,0.23,2.95,1.27,0.36,1.53,12.14,3.2,3.0100000000000002,1.78,22951660
Minnesota,2023,4,81.64,73.75,0.6900000000000001,17.21,2.56,3.87,0.5700000000000001,3.82,1.12,0.62,2.17,14.59,4.13,2.5,1.55,28689575
Minnesota,2023,5,61.4,55.31,0.17,13.03,1.96,2.84,0.0,2.49,0.71,0.4,1.3,11.16,2.77,1.13,0.89,22951660
Minnesota,2023,6,62.83,55.489999999999995,0.26,13.370000000000001,1.74,2.6,0.17,2.65,0.8500000000000001,0.5700000000000001,1.62,11.21,3.08,0.6,0.0,22951660
Minnesota,2023,7,74.59,67.38,0.68,17.31,2.3,3.6799999999999997,0.0,3.45,1.2999999999999998,0.38,1.76,13.23,3.86,0.19,0.0,28689575
Minnesota,2023,8,58.42,54.03,0.5800000000000001,13.64,1.74,2.84,0.0,2.55,0.41000000000000003,0.21,1.54,11.21,2.81,0.23,0.0,22951660
Minnesota,2023,9,38.28,37.47,0.0,9.34,1.32,1.97,0.0,1.5,0.56,0.17,1.05,7.57,1.92,0.72,0.23,17213745
Mississippi,2023,1,96.92,88.62,0.0,17.31,2.61,4.96,2.2199999999999998,6.66,1.73,2.01,0.0,22.72,5.03,5.74,3.98,11758760
Mississippi,2023,2,93.72,85.28,0.0,16.63,4.22,5.16,1.9,5.17,0.78,2.04,0.0,20.68,5.109999999999999,3.99,2.56,11758760
Mississippi,2023,3,87.9,78.81,0.41,15.47,3.12,4.42,1.56,4.9,1.26,1.7999999999999998,0.34,22.04,4.28,2.75,1.19,11758760
Mississippi,2023,4,102.25999999999999,92.84,0.0,19.29,3.46,4.77,1.63,6.22,1.09,2.01,0.34,25.1,5.03,2.79,0.34,14698450
Mississippi,2023,5,87.21000000000001,78.99000000000001,0.0,16.869999999999997,3.2,5.1,1.53,5.1,0.44,1.09,0.68,21.060000000000002,4.52,0.99,0.0,11758760
Mississippi,2023,6,83.75,76.37,0.34,16.37,2.79,4.01,1.19,5.0600000000000005,0.0,1.22,0.68,21.02,4.359999999999999,1.46,0.34,11758760
Mississippi,2023,7,102.36,93.48,0.0,19.35,3.0300000000000002,5.140000000000001,0.9199999999999999,6.53,1.53,1.7,1.3900000000000001,24.72,5.58,0.71,0.0,14698450
Mississippi,2023,8,84.7,77.94,0.0,16.46,2.79,4.8,0.34,4.49,0.71,0.81,2.58,21.43,4.63,1.0899999999999999,0.44,11758760
Mississippi,2023,9,52.49,51.12,0.0,11.05,1.67,2.92,0.68,3.49,0.41,0.75,1.8599999999999999,13.879999999999999,2.85,1.97,0.75,8819070
Missouri,2023,1,91.74000000000001,84.05,1.6,16.43,2.32,3.07,1.98,5.109999999999999,1.69,1.88,0.43000000000000005,21.55,4.72,3.65,2.87,24784624
Missouri,2023,2,88.1,79.49000000000001,1.35,16.990000000000002,2.35,3.18,1.33,4.38,1.4,2.38,0.0,20.259999999999998,4.26,2.81,2.0700000000000003,24784624
Missouri,2023,3,90.02,80.69,1.44,17.2,2.61,2.91,1.14,5.65,1.8099999999999998,2.64,0.35,19.75,4.390000000000001,2.4699999999999998,1.82,24784624
Missouri,2023,4,106.14,95.54,1.6099999999999999,20.57,2.79,3.51,1.85,6.54,1.76,2.67,0.19,23.11,5.1899999999999995,2.19,1.69,30980780
Missouri,2023,5,82.69,73.94,1.22,17.04,2.0,2.8600000000000003,1.18,4.67,1.37,2.19,0.35,18.9,3.43,1.1400000000000001,0.72,24784624
Missouri,2023,6,80.42,72.91,1.4100000000000001,16.7,2.22,3.02,1.4100000000000001,4.4399999999999995,1.29,2.24,0.18,18.57,4.34,0.19,0.0,24784624
Missouri,2023,7,96.06,86.86,1.5899999999999999,20.119999999999997,2.41,3.9,0.98,5.24,1.5899999999999999,2.19,0.0,22.400000000000002,4.9,0.36,0.0,30980780
Missouri,2023,8,72.15,68.19999999999999,1.03,17.009999999999998,2.19,2.89,0.9,4.17,1.1,2.31,0.0,15.99,3.8,0.34,0.29,24784624
Missouri,2023,9,45.870000000000005,44.85,0.71,10.94,1.31,1.81,0.88,2.59,0.9,1.67,0.0,10.31,2.46,0.77,0.65,18588468
Montana,2023,1,80.77,73.36,0.0,14.469999999999999,0.97,0.0,0.0,6.71,0.0,0.0,0.0,16.61,0.88,2.21,1.06,4531248
Montana,2023,2,76.00999999999999,69.38,0.0,15.709999999999999,0.0,0.88,0.0,4.42,0.0,0.0,0.0,16.86,0.0,0.0,0.0,4531248
Montana,2023,3,81.56,74.51,0.0,15.27,0.0,1.85,0.0,6.359999999999999,0.0,0.0,0.0,17.3,0.88,0.97,0.0,4531248
Montana,2023,4,96.4,88.45,0.0,18.990000000000002,0.88,0.0,0.0,6.36,0.0,0.0,0.0,23.4,0.0,0.0,0.0,5664060
Montana,2023,5,71.50999999999999,64.09,0.0,14.3,0.0,0.0,0.0,3.18,0.0,0.0,0.0,15.72,0.0,0.0,0.0,4531248
Montana,2023,6,73.8,65.5,0.0,13.15,1.24,0.0,0.0,3.53,0.0,0.0,0.0,17.92,0.97,0.0,0.0,4531248
Montana,2023,7,92.42,82.19,0.0,18.55,0.0,0.0,0.0,4.06,0.0,0.0,0.0,21.11,1.06,0.0,0.0,5664060
Montana,2023,8,67.61,61.79,0.0,12.98,0.0,0.0,0.0,2.91,0.0,0.0,0.0,15.1,2.0300000000000002,0.0,0.0,4531248
Montana,2023,9,40.26,38.489999999999995,0.0,8.3,0.0,0.0,0.0,1.24,0.0,0.0,0.0,10.25,0.88,0.0,0.0,3398436
Nebraska,2023,1,76.63,72.53999999999999,0.0,14.56,2.94,2.89,0.0,4.550000000000001,0.0,0.0,0.0,14.61,4.05,3.75,1.5699999999999998,7913516
Nebraska,2023,2,74.31,69.44999999999999,0.0,14.3,1.42,2.68,0.0,4.140000000000001,0.0,0.0,0.0,15.16,3.54,2.5900000000000003,0.51,7913516
Nebraska,2023,3,73.9,68.69,0.56,14.21,1.53,3.09,0.0,4.390000000000001,0.0,0.0,0.0,17.39,2.59,1.9700000000000002,0.86,7913516
Nebraska,2023,4,94.67,87.74,0.0,17.59,3.1,3.09,0.61,6.01,0.0,0.0,0.0,20.68,3.6500000000000004,3.19,1.02,9891895
Nebraska,2023,5,68.22999999999999,63.129999999999995,0.0,15.47,1.32,2.23,0.0,4.09,0.0,0.0,0.0,13.190000000000001,2.94,0.0,0.0,7913516
Nebraska,2023,6,68.08,63.74,0.0,15.17,1.72,2.48,0.0,3.94,0.0,0.0,0.0,14.0,3.64,0.51,0.0,7913516
Nebraska,2023,7,82.6,78.03999999999999,0.0,18.39,0.66,2.54,0.0,5.6,0.0,0.0,1.63,16.67,2.9899999999999998,0.0,0.0,9891895
Nebraska,2023,8,65.3,61.98,0.0,14.16,1.2200000000000002,3.04,0.0,3.14,0.51,0.0,1.37,13.8,2.94,0.0,0.0,7913516
Nebraska,2023,9,40.03,39.93,0.0,8.04,1.73,1.88,0.0,2.68,0.0,0.0,0.51,9.65,2.33,0.0,0.0,5935137
Nevada,2023,1,78.39,70.47,0.41,12.77,2.66,1.65,2.24,4.35,0.0,0.38,0.0,18.74,4.01,2.7800000000000002,2.2,12776704
Nevada,2023,2,74.54,66.28,0.0,14.28,2.5100000000000002,2.09,1.37,3.82,0.0,0.0,0.0,19.31,3.25,1.13,0.0,12776704
Nevada,2023,3,73.91,65.08,0.0,12.52,2.94,2.09,1.06,3.88,0.31,0.0,0.0,17.56,3.84,1.69,1.09,12776704
Nevada,2023,4,93.48,81.59,0.0,17.28,3.0900000000000003,2.88,1.5,5.48,0.0,0.0,0.31,22.83,4.01,1.16,0.65,15970880
Nevada,2023,5,70.22,61.730000000000004,0.0,12.36,2.59,2.19,1.1800000000000002,4.04,0.0,0.0,0.34,16.38,3.26,0.75,0.0,12776704
Nevada,2023,6,66.06,57.88,0.0,12.74,2.0700000000000003,1.54,0.0,3.66,0.0,0.0,0.72,16.12,3.13,0.31,0.0,12776704
Nevada,2023,7,86.25,75.39,0.0,15.93,2.38,2.1,0.41,3.6,0.0,0.0,7.29,19.23,4.220000000000001,0.0,0.0,15970880
Nevada,2023,8,65.61,60.019999999999996,0.0,12.86,2.04,1.48,0.0,3.43,0.0,0.0,7.51,12.74,2.93,0.31,0.0,12776704
Nevada,2023,9,24.86,23.89,0.0,5.32,0.0,0.72,0.0,1.15,0.0,0.31,2.2199999999999998,4.9799999999999995,1.18,0.69,0.0,9582528
New Hampshire,2023,1,87.8,79.87,0.0,16.259999999999998,1.49,1.8499999999999999,0.0,5.13,0.0,0.0,0.0,18.619999999999997,2.93,5.779999999999999,3.93,5608216
New Hampshire,2023,2,77.66999999999999,71.82,0.0,16.54,0.0,1.9300000000000002,0.0,4.07,0.0,0.0,0.0,16.34,1.71,3.0700000000000003,2.2,5608216
New Hampshire,2023,3,77.31,69.32,0.0,13.9,0.93,0.86,0.0,4.07,0.0,0.0,0.0,17.4,4.28,0.71,0.0,5608216
New Hampshire,2023,4,92.65,84.66,0.0,18.98,1.42,1.86,0.0,5.29,0.0,0.0,0.0,19.11,3.06,0.0,0.0,7010270
New Hampshire,2023,5,71.75,65.83,0.0,16.06,0.71,0.0,0.0,3.91,0.0,0.0,0.0,14.69,2.0,0.0,0.0,5608216
New Hampshire,2023,6,71.9,64.69,0.0,16.4,0.0,1.49,0.0,3.85,0.0,0.0,0.0,15.69,1.6400000000000001,0.0,0.0,5608216
New Hampshire,2023,7,90.59,82.52,0.0,19.83,0.78,3.2,0.0,4.21,0.0,0.0,1.07,20.55,2.71,0.0,0.0,7010270
New Hampshire,2023,8,73.38,67.27,0.0,15.19,0.71,1.6400000000000001,0.0,3.28,0.0,0.0,1.8599999999999999,16.04,2.63,0.0,0.0,5608216
New Hampshire,2023,9,50.489999999999995,48.559999999999995,0.0,10.77,0.0,1.78,0.0,2.14,0.0,0.0,3.14,10.91,2.92,0.0,0.0,4206162
New Jersey,2023,1,68.4,64.15,1.82,12.54,1.58,2.21,1.25,2.46,2.14,1.6099999999999999,1.8,15.24,3.08,4.48,3.11,37163364
New Jersey,2023,2,64.99000000000001,60.74,1.62,12.55,1.52,1.94,0.8,2.06,1.54,1.52,1.8800000000000001,15.6,3.1,3.19,2.14,37163364
New Jersey,2023,3,63.870000000000005,60.09,1.78,12.79,1.55,1.58,0.89,2.45,1.38,1.38,1.91,15.86,2.63,2.0100000000000002,1.3,37163364
New Jersey,2023,4,75.94,71.53,2.0100000000000002,15.51,1.98,2.48,1.1400000000000001,2.71,1.75,1.8,3.1500000000000004,17.86,3.39,1.19,0.77,46454205
New Jersey,2023,5,59.150000000000006,55.25,1.6600000000000001,12.24,1.3,1.75,0.89,2.13,1.56,1.33,2.79,13.42,3.05,0.67,0.11,37163364
New Jersey,2023,6,57.97,54.29,1.54,11.9,1.54,1.58,0.7100000000000001,2.06,1.46,1.64,3.11,13.5,2.54,0.17,0.13,37163364
New Jersey,2023,7,70.58,67.03,1.9100000000000001,15.2,1.51,1.83,0.88,2.49,1.73,1.48,4.87,16.21,3.3200000000000003,0.69,0.44000000000000006,46454205
New Jersey,2023,8,58.15,55.57,1.4100000000000001,12.53,1.51,1.74,0.69,1.73,1.49,1.46,4.13,12.940000000000001,2.63,0.72,0.54,37163364
New Jersey,2023,9,39.74,38.75,1.01,8.780000000000001,1.11,1.25,0.44,1.3,1.07,0.98,2.55,8.969999999999999,1.6199999999999999,0.8200000000000001,0.62,27872523
New Mexico,2023,1,83.9,74.21,0.0,14.71,3.26,2.5999999999999996,1.3199999999999998,3.83,0.0,0.0,0.0,17.07,2.88,4.3,2.8,8457484
New Mexico,2023,2,79.88,69.52,0.0,12.96,3.3600000000000003,1.6,1.04,3.32,0.99,0.0,0.0,17.27,3.92,1.74,0.52,8457484
New Mexico,2023,3,77.19,68.73,0.0,11.96,2.59,1.9,0.0,4.35,0.52,0.0,0.47,17.6,3.92,1.79,1.27,8457484
New Mexico,2023,4,101.88,88.96,0.0,17.87,4.45,3.26,0.0,4.39,1.65,0.0,0.0,20.95,4.31,3.11,1.65,10571855
New Mexico,2023,5,74.16,63.32,0.0,12.29,1.8,2.12,0.0,3.64,0.99,0.0,0.0,15.98,4.02,1.08,0.0,8457484
New Mexico,2023,6,72.27,61.82,0.0,12.81,1.8900000000000001,1.66,0.0,3.26,1.13,0.0,1.1800000000000002,14.61,3.27,0.52,0.0,8457484
New Mexico,2023,7,89.0,78.89,0.0,15.280000000000001,2.55,1.6099999999999999,0.0,4.21,0.0,0.0,7.29,17.83,3.6,0.0,0.0,10571855
New Mexico,2023,8,65.41,61.09,0.0,12.82,1.18,2.36,0.0,3.36,0.52,0.0,6.67,11.25,3.64,0.0,0.0,8457484
New Mexico,2023,9,35.81,34.769999999999996,0.0,7.28,0.0,1.04,0.0,2.36,0.0,0.0,3.78,6.95,2.08,0.0,0.0,6343113
New York,2023,1,47.28,43.87,0.8,8.74,1.28,0.95,1.6,2.0,1.2,0.77,0.89,10.73,1.93,2.93,1.92,78284864
New York,2023,2,43.67,40.48,0.56,7.99,1.2,0.84,1.1,1.97,1.11,0.82,0.84,10.47,1.77,2.24,1.42,78284864
New York,2023,3,42.2,39.18,0.5900000000000001,8.34,1.05,0.96,0.92,1.9300000000000002,1.07,0.68,0.89,10.07,1.7,1.7,1.01,78284864
New York,2023,4,50.51,46.79,0.73,10.09,1.29,1.04,1.06,2.23,1.18,0.86,1.37,12.35,1.96,1.26,0.8200000000000001,97856080
New York,2023,5,39.56,36.58,0.55,7.64,1.02,0.73,0.86,1.85,0.86,0.69,1.18,9.42,1.6600000000000001,0.6,0.32,78284864
New York,2023,6,39.01,36.04,0.49,8.059999999999999,1.0,0.77,0.81,1.68,0.9299999999999999,0.68,1.23,9.6,1.55,0.54,0.3,78284864
New York,2023,7,47.22,44.24,0.53,10.35,1.35,0.88,1.03,2.0,1.05,0.63,2.3,11.190000000000001,1.77,0.44,0.07,97856080
New York,2023,8,39.21,37.17,0.5,8.45,0.97,0.76,0.79,1.61,0.96,0.66,2.61,8.73,1.49,0.5900000000000001,0.43,78284864
New York,2023,9,26.869999999999997,25.990000000000002,0.36,5.72,0.8,0.56,0.52,1.18,0.69,0.45,1.77,6.05,0.9299999999999999,0.67,0.51,58713648
North Carolina,2023,1,84.56,77.57,1.03,15.23,2.8,3.36,1.46,4.12,1.59,1.5,1.78,16.65,4.5600000000000005,5.81,3.7800000000000002,43341964
North Carolina,2023,2,78.87,72.28,1.01,14.66,2.5300000000000002,2.9,1.18,4.26,1.28,1.75,2.35,15.25,4.67,3.33,2.07,43341964
North Carolina,2023,3,78.02,71.85,0.9,15.26,2.56,2.78,0.98,4.18,1.38,1.5,3.2,15.190000000000001,4.32,2.26,1.32,43341964
North Carolina,2023,4,93.32,85.91,1.15,18.55,2.94,3.24,1.1400000000000001,4.63,1.72,1.77,4.17,18.67,5.62,1.68,0.96,54177455
North Carolina,2023,5,72.50999999999999,66.94,0.99,13.4,2.2800000000000002,2.95,1.1,3.5,1.19,1.4300000000000002,4.6,14.0,4.08,0.97,0.51,43341964
North Carolina,2023,6,74.05,68.83,0.94,15.93,2.02,2.8600000000000003,0.75,3.49,1.24,1.23,4.34,13.95,4.050000000000001,0.71,0.24000000000000002,43341964
North Carolina,2023,7,87.94,81.16,1.11,18.18,2.9400000000000004,2.95,1.17,4.32,1.32,1.7,5.34,16.77,4.8500000000000005,1.02,0.47000000000000003,54177455
North Carolina,2023,8,72.15,66.91,0.76,14.61,2.26,2.82,0.87,3.29,1.28,1.52,3.94,13.68,4.32,1.18,0.68,43341964
North Carolina,2023,9,45.24,43.94,0.53,10.05,1.24,2.07,0.5700000000000001,2.23,0.8600000000000001,0.97,2.3000000000000003,9.17,2.76,1.11,0.8,32506473
North Dakota,2023,1,82.52,75.65,0.0,14.790000000000001,0.0,3.32,0.0,2.6799999999999997,0.0,0.0,0.0,18.11,0.0,0.0,0.0,3135704
North Dakota,2023,2,70.41,66.07,0.0,13.129999999999999,0.0,3.3200000000000003,0.0,1.28,0.0,0.0,0.0,15.44,0.0,0.0,0.0,3135704
North Dakota,2023,3,73.35,67.99,0.0,14.03,0.0,1.66,0.0,0.0,0.0,0.0,0.0,16.71,0.0,0.0,0.0,3135704
North Dakota,2023,4,92.36,83.67999999999999,0.0,15.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.02,0.0,0.0,0.0,3919630
North Dakota,2023,5,75.13,68.25,0.0,15.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,0.0,0.0,0.0,3135704
North Dakota,2023,6,63.4,58.3,0.0,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.16,1.28,0.0,0.0,3135704
North Dakota,2023,7,90.7,81.65,0.0,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23,0.0,0.0,0.0,3919630
North Dakota,2023,8,68.24000000000001,63.65,0.0,15.69,0.0,1.4,0.0,0.0,0.0,0.0,0.0,15.31,0.0,0.0,0.0,3135704
North Dakota,2023,9,42.47,41.199999999999996,0.0,8.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44,1.28,0.0,0.0,2351778
Ohio,2023,1,91.45,83.39,1.36,16.28,2.91,3.69,2.08,4.44,1.74,1.76,1.33,20.07,4.859999999999999,4.9399999999999995,3.37,47143740
Ohio,2023,2,85.96000000000001,77.61,1.31,15.83,3.06,3.24,1.21,4.37,1.45,1.58,1.06,19.19,4.87,2.92,1.88,47143740
Ohio,2023,3,86.64,78.68,1.5,16.54,2.6,3.36,1.03,4.4,1.66,1.77,1.3699999999999999,19.11,4.890000000000001,2.9000000000000004,1.84,47143740
Ohio,2023,4,105.35,94.81,1.58,19.91,3.56,3.38,1.55,5.45,1.86,1.75,1.75,23.54,5.83,2.88,1.6800000000000002,58929675
