Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
Arkansas,2023,9,53.66,52.19,0.52,11.74,1.6600000000000001,2.2199999999999998,0.66,3.84,0.0,0.78,1.4300000000000002,13.66,2.58,1.21,0.36,9203196
California,2023,1,65.53,59.58,0.41,12.280000000000001,2.42,3.48,1.5,2.79,0.73,1.1,0.56,14.440000000000001,3.8600000000000003,3.2,2.26,155860772
California,2023,2,63.57,58.18,0.44,12.17,2.55,3.4699999999999998,1.33,2.86,0.8200000000000001,1.15,0.71,14.04,3.8,1.91,1.33,155860772
California,2023,3,62.49,57.18,0.43,11.76,2.5,3.31,1.1400000000000001,2.7,0.68,1.1,0.81,14.39,3.62,1.78,1.18,155860772
California,2023,4,73.48,66.82,0.46,14.35,2.87,3.89,1.17,3.16,0.89,1.21,1.46,16.240000000000002,4.51,1.52,0.99,194825965
California,2023,5,55.54,50.71,0.29000000000000004,11.78,2.21,2.88,0.8999999999999999,2.2,0.66,0.97,1.34,12.07,3.38,0.86,0.55,155860772
California,2023,6,54.91,50.19,0.30000000000000004,11.75,1.99,2.82,0.97,2.16,0.5800000000000001,0.87,1.61,11.780000000000001,3.4,0.75,0.5,155860772
California,2023,7,67.81,62.41,0.35,14.69,2.48,3.71,1.09,2.8,0.78,1.07,3.42,13.95,4.0,0.77,0.53,194825965
California,2023,8,53.05,50.21,0.36,11.96,1.7999999999999998,2.82,0.72,1.94,0.59,0.83,3.99,10.6,3.19,0.9099999999999999,0.6900000000000001,155860772
California,2023,9,32.99,32.41,0.17,7.71,1.13,2.16,0.49,1.21,0.37,0.52,2.3499999999999996,6.54,2.08,0.81,0.63,116895579
Colorado,2023,1,63.41,55.879999999999995,0.5900000000000001,10.2,1.71,2.6,0.83,4.35,1.01,1.08,0.0,11.49,3.03,2.8899999999999997,1.44,23510440
Colorado,2023,2,60.66,53.25,0.61,11.16,1.59,2.52,0.19,3.29,0.77,0.78,0.0,11.21,3.18,1.53,0.34,23510440
Colorado,2023,3,60.56,52.86,0.94,11.1,1.51,2.37,0.0,3.7199999999999998,1.2,0.8300000000000001,0.0,10.6,2.74,1.73,1.0,23510440
Colorado,2023,4,76.34,66.74000000000001,0.6000000000000001,14.15,2.17,3.3400000000000003,0.17,4.1,1.27,0.76,0.0,14.120000000000001,3.75,1.9700000000000002,0.75,29388050
Colorado,2023,5,57.71,49.36,0.65,11.25,1.39,1.97,0.0,2.94,0.7,0.2,0.17,10.95,2.98,0.79,0.0,23510440
Colorado,2023,6,55.910000000000004,47.65,0.19,10.6,1.53,2.1799999999999997,0.0,2.89,0.68,0.67,0.59,9.47,3.0300000000000002,0.5800000000000001,0.0,23510440
Colorado,2023,7,68.83,60.28,0.36,13.24,1.58,2.71,0.0,3.49,1.4,0.4,2.7199999999999998,12.83,3.29,0.19,0.0,29388050
Colorado,2023,8,56.620000000000005,52.01,0.17,11.19,1.31,2.3200000000000003,0.17,2.49,0.98,0.0,3.92,10.05,2.89,0.29,0.0,23510440
Colorado,2023,9,35.08,33.9,0.0,7.37,0.53,1.6,0.0,1.99,0.22,0.37,4.01,5.6,1.8599999999999999,0.56,0.17,17632830
Connecticut,2023,1,77.71000000000001,71.74,0.91,13.83,1.69,2.27,1.74,3.32,1.61,1.8599999999999999,0.3,15.399999999999999,3.92,5.109999999999999,3.48,14468704
Connecticut,2023,2,76.22,70.06,0.99,14.84,1.73,2.2600000000000002,1.49,2.93,1.56,1.77,0.39,15.56,3.54,3.18,2.1799999999999997,14468704
Connecticut,2023,3,70.47,64.33,0.5800000000000001,14.129999999999999,1.82,2.3499999999999996,1.08,2.29,1.1,0.97,0.0,14.55,2.7,1.9900000000000002,1.3699999999999999,14468704
Connecticut,2023,4,82.94,75.53,0.33,15.65,1.94,2.6799999999999997,1.28,3.7199999999999998,1.69,1.2200000000000002,0.0,18.38,3.81,0.5800000000000001,0.0,18085880
Connecticut,2023,5,66.95,60.1,0.28,13.16,0.67,2.25,0.72,2.46,1.35,1.32,0.5800000000000001,14.26,3.66,0.0,0.0,14468704
Connecticut,2023,6,62.89,57.36,0.41,13.3,1.21,1.77,0.41,2.3499999999999996,1.8199999999999998,1.3599999999999999,1.0,12.91,3.17,0.0,0.0,14468704
